Id,Label,Latitude,Longitude
Thailand,Thailand,14.8971921,100.83273
Yemen,Yemen,16.3471243,47.8915271
Morocco,Morocco,31.1728192,-7.3366043
Cyprus,Cyprus,34.9823018,33.1451285
Hungary,Hungary,47.1817585,19.5060937
Montenegro,Montenegro,43.0285558,19.291739
Brunei,Brunei,4.4137155,114.5653908
American Samoa,American Samoa,-14.30063095,-170.695974791655
Nicaragua,Nicaragua,12.3724928,-84.8700308
Jersey,Jersey,49.21230655,-2.12559995964288
Lebanon,Lebanon,33.8750629,35.843409
Viet Nam,Viet Nam,13.2904027,108.4265113
Croatia,Croatia,45.5643442,17.0118954
Mozambique,Mozambique,-19.302233,34.9144977
Slovakia,Slovakia,48.7411522,19.4528646
United States Of America,United States Of America,39.7837304,-100.4458825
Finland,Finland,63.2467777,25.9209164
"Bolivia, Plurinational State of","Bolivia, Plurinational State of",-17.0568696,-64.9912286
Dubai,Dubai,25.2683521,55.2961962
Pakistan,Pakistan,30.3308401,71.247499
Andorra,Andorra,42.5407167,1.5732033
Bahrain,Bahrain,26.1551249,50.5344606
China,China,35.000074,104.999927
Syrian Arab Republic,Syrian Arab Republic,34.6401861,39.0494106
Central African Republic,Central African Republic,25.2183959,55.1752385762154
Zambia,Zambia,-14.5186239,27.5599164
Austria,Austria,47.2000338,13.199959
Nauru,Nauru,-0.5249624,166.9333009
Jordan,Jordan,31.1667049,36.941628
Haiti,Haiti,18.98801315,-72.2946027714031
Kuwait,Kuwait,29.2733964,47.4979476
Anguilla,Anguilla,18.1954947,-63.0750234
Ras Al Khaimah,Ras Al Khaimah,25.7737705,55.938232
Philippines,Philippines,12.7503486,122.7312101
Hong Kong,Hong Kong,22.2793278,114.1628131
New Zealand,New Zealand,-41.5000831,172.8344077
United Arab Emirates,United Arab Emirates,24.0002488,53.9994829
Gibraltar,Gibraltar,36.1451465,-5.3484848
Belize,Belize,16.8259793,-88.7600927
"Korea, Republic of","Korea, Republic of",36.5581914,127.9408564
Vanuatu,Vanuatu,-16.5255069,168.1069154
Botswana,Botswana,-23.1681782,24.5928742
Malawi,Malawi,-13.2687204,33.9301963
Isle Of Man,Isle Of Man,54.2358167,-4.51459874569825
"Moldova, Republic of","Moldova, Republic of",47.286747,28.5110236
Argentina,Argentina,-34.9964963,-64.9672817
Monaco,Monaco,43.7311424,7.4197576
Barbados,Barbados,13.1500331,-59.5250305
Colombia,Colombia,2.8894434,-73.783892
Cayman Islands,Cayman Islands,19.5417212,-80.5667132
United Kingdom,United Kingdom,54.7023545,-3.2765753
Switzerland,Switzerland,46.7985624,8.2319736
Ireland,Ireland,52.865196,-7.9794599
Uganda,Uganda,1.5333554,32.2166578
Romania,Romania,45.9852129,24.6859225
Saint Kitts and Nevis,Saint Kitts and Nevis,17.3462278,-62.7687277
Singapore,Singapore,1.2904753,103.8520359
Nevada,Nevada,39.5158825,-116.8537227
Wyoming,Wyoming,43.1700264,-107.5685348
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,12.90447,-61.2765569
Greece,Greece,38.9953683,21.9877132
Namibia,Namibia,-23.2335499,17.3231107
Bulgaria,Bulgaria,42.6073975,25.4856617
Belarus,Belarus,53.4250605,27.6971358
Cayman,Cayman,1.654606,-74.8004171
Portugal,Portugal,40.033265,-7.8896263
Albania,Albania,41.000028,19.9999619
Ukraine,Ukraine,49.4871968,31.2718321
Kazakhstan,Kazakhstan,47.2286086,65.2093197
Qatar,Qatar,25.3336984,51.2295295
Jamaica,Jamaica,18.1850507,-77.3947693
Nigeria,Nigeria,9.6000359,7.9999721
Luxembourg,Luxembourg,49.8158683,6.1296751
Bangladesh,Bangladesh,24.4768783,90.2932426
Aruba,Aruba,12.5013629,-69.9618475
Marshall Islands,Marshall Islands,6.9518742,170.9985095
Libya,Libya,26.8234472,18.1236723
Australia,Australia,-24.7761086,134.755
Brunei Darussalam,Brunei Darussalam,4.4137155,114.5653908
Estonia,Estonia,58.7523778,25.3319078
India,India,22.3511148,78.6677428
Latvia,Latvia,56.8666904,24.5999717
Canada,Canada,61.0666922,-107.9917071
Antigua and Barbuda,Antigua and Barbuda,17.079128,-61.8222516
Liechtenstein,Liechtenstein,47.1416307,9.5531527
Indonesia,Indonesia,-4.7993356,114.5632032
Labuan,Labuan,5.2785201,115.2422574
Ecuador,Ecuador,-1.3397668,-79.3666965
Oman,Oman,21.0000287,57.0036901
