Source,Target,Label,Weight
Bahamas,Albania,Bahamas,2
Bahamas,Andorra,Bahamas,26
Bahamas,Argentina,Bahamas,23
Bahamas,Australia,Bahamas,2
Bahamas,Austria,Bahamas,4
Bahamas,Azerbaijan,Bahamas,4
Bahamas,Bahamas,Bahamas,432
Bahamas,Barbados,Bahamas,2
Bahamas,Belgium,Bahamas,8
Bahamas,Belize,Bahamas,250
Bahamas,Bermuda,Bahamas,19
Bahamas,Brazil,Bahamas,33
Bahamas,Bulgaria,Bahamas,2
Bahamas,Canada,Bahamas,35
Bahamas,Cayman Islands,Bahamas,7
Bahamas,Chile,Bahamas,14
Bahamas,China,Bahamas,5
Bahamas,Colombia,Bahamas,22
Bahamas,Costa Rica,Bahamas,32
Bahamas,Cyprus,Bahamas,649
Bahamas,Czech Republic,Bahamas,2
Bahamas,Denmark,Bahamas,4
Bahamas,Dominican Republic,Bahamas,8
Bahamas,Ecuador,Bahamas,49
Bahamas,Egypt,Bahamas,5
Bahamas,El Salvador,Bahamas,6
Bahamas,Estonia,Bahamas,114
Bahamas,Finland,Bahamas,32
Bahamas,France,Bahamas,23
Bahamas,Germany,Bahamas,1
Bahamas,Ghana,Bahamas,1
Bahamas,Gibraltar,Bahamas,150
Bahamas,Greece,Bahamas,7
Bahamas,Guatemala,Bahamas,39
Bahamas,Guernsey,Bahamas,1504
Bahamas,Honduras,Bahamas,1
Bahamas,Hong Kong,Bahamas,960
Bahamas,Hungary,Bahamas,4
Bahamas,Ireland,Bahamas,25
Bahamas,Isle of Man,Bahamas,883
Bahamas,Israel,Bahamas,16
Bahamas,Italy,Bahamas,3
Bahamas,Jamaica,Bahamas,1
Bahamas,Jersey,Bahamas,1241
Bahamas,Jordan,Bahamas,14
Bahamas,Kenya,Bahamas,1
Bahamas,Kuwait,Bahamas,2
Bahamas,Latvia,Bahamas,51
Bahamas,Lebanon,Bahamas,7
Bahamas,Liechtenstein,Bahamas,87
Bahamas,Lithuania,Bahamas,2
Bahamas,Luxembourg,Bahamas,423
Bahamas,Malaysia,Bahamas,1
Bahamas,Malta,Bahamas,11
Bahamas,Mauritius,Bahamas,136
Bahamas,Mexico,Bahamas,3
Bahamas,Monaco,Bahamas,83
Bahamas,Netherlands,Bahamas,28
Bahamas,New Zealand,Bahamas,7
Bahamas,Nigeria,Bahamas,5
Bahamas,Niue,Bahamas,1
Bahamas,Norway,Bahamas,1
Bahamas,Pakistan,Bahamas,1
Bahamas,Panama,Bahamas,1120
Bahamas,Paraguay,Bahamas,10
Bahamas,Peru,Bahamas,2
Bahamas,Philippines,Bahamas,2
Bahamas,Poland,Bahamas,58
Bahamas,Portugal,Bahamas,44
Bahamas,Qatar,Bahamas,4
Bahamas,Russian Federation,Bahamas,1335
Bahamas,Saint Kitts and Nevis,Bahamas,9
Bahamas,Samoa,Bahamas,121
Bahamas,Saudi Arabia,Bahamas,4
Bahamas,Seychelles,Bahamas,67
Bahamas,Singapore,Bahamas,93
Bahamas,Slovenia,Bahamas,3
Bahamas,South Africa,Bahamas,8
Bahamas,Spain,Bahamas,163
Bahamas,Sweden,Bahamas,22
Bahamas,Switzerland,Bahamas,2127
Bahamas,Syrian Arab Republic,Bahamas,2
Bahamas,"Taiwan, Province of China",Bahamas,242
Bahamas,Thailand,Bahamas,25
Bahamas,Turkey,Bahamas,3
Bahamas,Turks and Caicos Islands,Bahamas,5
Bahamas,Ukraine,Bahamas,82
Bahamas,United Arab Emirates,Bahamas,648
Bahamas,United Kingdom,Bahamas,1319
Bahamas,United States,Bahamas,402
Bahamas,Uruguay,Bahamas,317
Bahamas,"Venezuela, Bolivarian Republic of",Bahamas,18
Bahamas,Viet Nam,Bahamas,2
Bahamas,"Virgin Islands, British",Bahamas,145
Bahamas,"Virgin Islands, U.S.",Bahamas,2
Belize,China,Belize,1
Belize,Colombia,Belize,19
Belize,Cyprus,Belize,11
Belize,Ecuador,Belize,5
Belize,Gibraltar,Belize,2
Belize,Hong Kong,Belize,6
Belize,Israel,Belize,10
Belize,Luxembourg,Belize,8
Belize,Monaco,Belize,2
Belize,Panama,Belize,40
Belize,Russian Federation,Belize,3
Belize,Seychelles,Belize,1
Belize,Singapore,Belize,1
Belize,Switzerland,Belize,4
Belize,United Arab Emirates,Belize,1
Belize,United Kingdom,Belize,2
Belize,United States,Belize,2
Belize,Uruguay,Belize,4
Belize,"Venezuela, Bolivarian Republic of",Belize,7
Belize,"Virgin Islands, British",Belize,1
Bermuda,Bermuda,Bermuda,6
British Anguilla,Anguilla,British Anguilla,21
British Anguilla,Aruba,British Anguilla,4
British Anguilla,Australia,British Anguilla,1
British Anguilla,Austria,British Anguilla,1
British Anguilla,Bahamas,British Anguilla,45
British Anguilla,Belgium,British Anguilla,1
British Anguilla,Belize,British Anguilla,19
British Anguilla,Brazil,British Anguilla,14
British Anguilla,Canada,British Anguilla,2
British Anguilla,Chile,British Anguilla,2
British Anguilla,China,British Anguilla,148
British Anguilla,Colombia,British Anguilla,59
British Anguilla,Costa Rica,British Anguilla,11
British Anguilla,Cyprus,British Anguilla,5
British Anguilla,Dominican Republic,British Anguilla,24
British Anguilla,Ecuador,British Anguilla,146
British Anguilla,El Salvador,British Anguilla,1
British Anguilla,Estonia,British Anguilla,1
British Anguilla,France,British Anguilla,10
British Anguilla,Georgia,British Anguilla,1
British Anguilla,Germany,British Anguilla,1
British Anguilla,Ghana,British Anguilla,1
British Anguilla,Guatemala,British Anguilla,23
British Anguilla,Guernsey,British Anguilla,27
British Anguilla,Hong Kong,British Anguilla,1366
British Anguilla,Ireland,British Anguilla,1
British Anguilla,Isle of Man,British Anguilla,35
British Anguilla,Israel,British Anguilla,150
British Anguilla,Italy,British Anguilla,204
British Anguilla,Jersey,British Anguilla,2
British Anguilla,Kenya,British Anguilla,2
British Anguilla,Liechtenstein,British Anguilla,5
British Anguilla,Lithuania,British Anguilla,1
British Anguilla,Luxembourg,British Anguilla,7
British Anguilla,Malaysia,British Anguilla,1
British Anguilla,Monaco,British Anguilla,4
British Anguilla,Netherlands,British Anguilla,4
British Anguilla,Panama,British Anguilla,278
British Anguilla,Philippines,British Anguilla,1
British Anguilla,Romania,British Anguilla,2
British Anguilla,Russian Federation,British Anguilla,73
British Anguilla,Samoa,British Anguilla,2
British Anguilla,Seychelles,British Anguilla,2
British Anguilla,Singapore,British Anguilla,15
British Anguilla,Slovenia,British Anguilla,16
British Anguilla,Spain,British Anguilla,3
British Anguilla,Switzerland,British Anguilla,96
